"filename", "language", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "JSON", "YAML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\post\post.blade.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\search.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\show_details.blade.php", "PHP", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 15, 199
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\product\tag.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\send_coupon.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\send_mail.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\shopbanhanglaravel\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\shopbanhanglaravel\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\shopbanhanglaravel\routes\web.php", "PHP", 0, 154, 0, 0, 0, 0, 0, 0, 0, 25, 52, 231
"c:\xampp\htdocs\shopbanhanglaravel\tests\CreatesApplication.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\shopbanhanglaravel\tests\Feature\ExampleTest.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\shopbanhanglaravel\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\shopbanhanglaravel\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\shopbanhanglaravel\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\shopbanhanglaravel\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\shopbanhanglaravel\webpack.mix.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 11, 3, 18
"Total", "-", 24971, 8938, 3443, 29558, 1709, 4077, 9241, 12, 11962, 6631, 10471, 111013
